Page ID,Model Name,Ground Truth,OCR Text,Edit Distance
174761,OpenYoja/V-01.04.01.00,है।,है।-विश्वास,8
174761,OpenYoja/V-01.04.01.00,विश्वास,रखना,6
174761,OpenYoja/V-01.04.01.00,रखना,चाहिए,5
174761,OpenYoja/V-01.04.01.00,चाहिए,कि,4
174761,OpenYoja/V-01.04.01.00,क्योंकि,विश्वास,7
174761,OpenYoja/V-01.04.01.00,विश्वास,ही,7
174761,OpenYoja/V-01.04.01.00,ही,बल,2
174761,OpenYoja/V-01.04.01.00,बल,है,2
174761,OpenYoja/V-01.04.01.00,है।,जिसको,5
174761,OpenYoja/V-01.04.01.00,जिसको,बाहय,5
174761,OpenYoja/V-01.04.01.00,बाह्य,उपदेश,5
174761,OpenYoja/V-01.04.01.00,उपदेश,देने,4
174761,OpenYoja/V-01.04.01.00,देने,प्रतिबंध,8
174761,OpenYoja/V-01.04.01.00,प्रतिबंध,अथवा,8
174761,OpenYoja/V-01.04.01.00,"है,",सामाजिक,7
174761,OpenYoja/V-01.04.01.00,अथवा,व्यवधान,5
174761,OpenYoja/V-01.04.01.00,सामाजिक,या,6
174761,OpenYoja/V-01.04.01.00,व्यवधान,दूरी,7
174761,OpenYoja/V-01.04.01.00,या,के,2
174761,OpenYoja/V-01.04.01.00,दूरी,कारण,3
174761,OpenYoja/V-01.04.01.00,के,संभव,4
174761,OpenYoja/V-01.04.01.00,कारण,नहीं,4
174761,OpenYoja/V-01.04.01.00,संभव,है,4
174761,OpenYoja/V-01.04.01.00,नहीं,उसे,4
174761,OpenYoja/V-01.04.01.00,है,मन,2
174761,OpenYoja/V-01.04.01.00,उसे,ही,3
174761,OpenYoja/V-01.04.01.00,ही,संयम,4
174761,OpenYoja/V-01.04.01.00,मन,की,2
174761,OpenYoja/V-01.04.01.00,संयम,ओर,4
174761,OpenYoja/V-01.04.01.00,की,आकर्षित,6
174761,OpenYoja/V-01.04.01.00,ओर,करना,3
174761,OpenYoja/V-01.04.01.00,आकर्षित,चाहिए।,7
174761,OpenYoja/V-01.04.01.00,करना,यह,4
174761,OpenYoja/V-01.04.01.00,चाहिए।,लाभदायक,6
174761,OpenYoja/V-01.04.01.00,यह,सिद्ध,5
174761,OpenYoja/V-01.04.01.00,लाभदायक,होगा,6
174761,OpenYoja/V-01.04.01.00,सिद्ध,यहा,5
174761,OpenYoja/V-01.04.01.00,होगा।,उपदेश,5
174761,OpenYoja/V-01.04.01.00,यह,प्रत्यक्ष,8
174761,OpenYoja/V-01.04.01.00,उपदेश,अनुभव,5
174761,OpenYoja/V-01.04.01.00,प्रत्यक्ष,और,8
174761,OpenYoja/V-01.04.01.00,अनुभव,वास्तविक,7
174761,OpenYoja/V-01.04.01.00,और,घटनाओं,6
174761,OpenYoja/V-01.04.01.00,वास्तविक,पर,8
174761,OpenYoja/V-01.04.01.00,घटनाओं,आधारित,6
174761,OpenYoja/V-01.04.01.00,पर,है,2
174761,OpenYoja/V-01.04.01.00,आधारित,वृथा,6
174761,OpenYoja/V-01.04.01.00,है।,क्लेश।,5
174761,OpenYoja/V-01.04.01.00,वृथा,देना,3
174761,OpenYoja/V-01.04.01.00,क्लेश,भगवान,5
174761,OpenYoja/V-01.04.01.00,देना,की,4
174761,OpenYoja/V-01.04.01.00,भगवान,इस,5
174761,OpenYoja/V-01.04.01.00,की,सृष्टि,6
174761,OpenYoja/V-01.04.01.00,इस,में,3
174761,OpenYoja/V-01.04.01.00,सृष्टि,कोई,6
174761,OpenYoja/V-01.04.01.00,में,कितना,5
174761,OpenYoja/V-01.04.01.00,कोई,भी,3
174761,OpenYoja/V-01.04.01.00,कितना,क्यों,4
174761,OpenYoja/V-01.04.01.00,भी,न,2
174761,OpenYoja/V-01.04.01.00,क्यों,करे,4
174761,OpenYoja/V-01.04.01.00,न,किसी,4
174761,OpenYoja/V-01.04.01.00,करे,न,3
174761,OpenYoja/V-01.04.01.00,न,के,2
174761,OpenYoja/V-01.04.01.00,किसी,मन.,4
174761,OpenYoja/V-01.04.01.00,के,में,2
174761,OpenYoja/V-01.04.01.00,मन,चोट,3
174761,OpenYoja/V-01.04.01.00,में,पहुंचाए,6
174761,OpenYoja/V-01.04.01.00,चोट,बिना,4
174761,OpenYoja/V-01.04.01.00,पहुंचाए,मनुष्य,6
174761,OpenYoja/V-01.04.01.00,बिना,का,3
174761,OpenYoja/V-01.04.01.00,मनुष्य,जीवन,6
174761,OpenYoja/V-01.04.01.00,का,व्यतित,6
174761,OpenYoja/V-01.04.01.00,जीवन,करना,4
174761,OpenYoja/V-01.04.01.00,व्यतित,असंभव,6
174761,OpenYoja/V-01.04.01.00,करना,है,4
174761,OpenYoja/V-01.04.01.00,असंभव,यहां,5
174761,OpenYoja/V-01.04.01.00,है।,दूसरों,6
174761,OpenYoja/V-01.04.01.00,यहां,को,4
174761,OpenYoja/V-01.04.01.00,दूसरों,अनावश्यक,8
174761,OpenYoja/V-01.04.01.00,को,पीड़ा,5
174761,OpenYoja/V-01.04.01.00,अनावश्यक,देने,8
174761,OpenYoja/V-01.04.01.00,पीड़ा,से,5
174761,OpenYoja/V-01.04.01.00,देने,दूर,3
174761,OpenYoja/V-01.04.01.00,से,रहने,3
174761,OpenYoja/V-01.04.01.00,दूर,का,3
174761,OpenYoja/V-01.04.01.00,रहने,प्रयत्न,6
174761,OpenYoja/V-01.04.01.00,का,बहुत,4
174761,OpenYoja/V-01.04.01.00,प्रयत्न,ही,7
174761,OpenYoja/V-01.04.01.00,बहुत,महत्वपूर्ण,9
174761,OpenYoja/V-01.04.01.00,ही,है,1
174761,OpenYoja/V-01.04.01.00,महत्वपूर्ण,बिना,10
174761,OpenYoja/V-01.04.01.00,है।,किसी,4
174761,OpenYoja/V-01.04.01.00,बिना,कारण,4
174761,OpenYoja/V-01.04.01.00,किसी,के,3
174761,OpenYoja/V-01.04.01.00,कारण,या,3
174761,OpenYoja/V-01.04.01.00,के,छोटी,4
174761,OpenYoja/V-01.04.01.00,या,सी,2
174761,OpenYoja/V-01.04.01.00,छोटी,किसी,3
174761,OpenYoja/V-01.04.01.00,सी,बात,3
174761,OpenYoja/V-01.04.01.00,किसी,पर,4
174761,OpenYoja/V-01.04.01.00,बात,किसी,4
174761,OpenYoja/V-01.04.01.00,पर,को,2
174761,OpenYoja/V-01.04.01.00,किसी,दुख,4
174761,OpenYoja/V-01.04.01.00,को,पहुंचाना,8
174761,OpenYoja/V-01.04.01.00,दुख,अनुचित,5
174761,OpenYoja/V-01.04.01.00,पहुंचाना,"है,",7
174761,OpenYoja/V-01.04.01.00,अनुचित,परन्तु,6
174761,OpenYoja/V-01.04.01.00,"है,",तुम्हारे,7
174761,OpenYoja/V-01.04.01.00,परन्तु,चरित्रधन,6
174761,OpenYoja/V-01.04.01.00,तुम्हारे,को,8
174761,OpenYoja/V-01.04.01.00,चरित्रधन,कुड़ेदान,7
174761,OpenYoja/V-01.04.01.00,को,में,3
174761,OpenYoja/V-01.04.01.00,कुड़ेदान,न,7
174761,OpenYoja/V-01.04.01.00,में,फेंकने,4
174761,OpenYoja/V-01.04.01.00,न,से,2
174761,OpenYoja/V-01.04.01.00,फेंकने,अगर,6
174761,OpenYoja/V-01.04.01.00,से,किसी,3
174761,OpenYoja/V-01.04.01.00,अगर,लंपट,4
174761,OpenYoja/V-01.04.01.00,किसी,व्यक्ति,6
174761,OpenYoja/V-01.04.01.00,लंपट,को,4
174761,OpenYoja/V-01.04.01.00,व्यक्ति,दुख,7
174761,OpenYoja/V-01.04.01.00,को,पहुँचाता,8
174761,OpenYoja/V-01.04.01.00,दुख,है,3
174761,OpenYoja/V-01.04.01.00,पहुँचाता,तो,7
174761,OpenYoja/V-01.04.01.00,है,उसके,4
174761,OpenYoja/V-01.04.01.00,तो,दुखी,4
174761,OpenYoja/V-01.04.01.00,उसके,होने,3
174761,OpenYoja/V-01.04.01.00,दुखी,की,3
174761,OpenYoja/V-01.04.01.00,होने,परवाह,5
174761,OpenYoja/V-01.04.01.00,की,नहीं,3
174761,OpenYoja/V-01.04.01.00,परवाह,करनी,4
174761,OpenYoja/V-01.04.01.00,नहीं,चाहिए।,5
174761,OpenYoja/V-01.04.01.00,करनी,कोई,3
174761,OpenYoja/V-01.04.01.00,चाहिए।,लंपट,6
174761,OpenYoja/V-01.04.01.00,कोई,तुम्हारे,8
174761,OpenYoja/V-01.04.01.00,लंपट,साथ,4
174761,OpenYoja/V-01.04.01.00,तुम्हारे,एक,8
174761,OpenYoja/V-01.04.01.00,साथ,ही,3
174761,OpenYoja/V-01.04.01.00,एक,विस्तर,6
174761,OpenYoja/V-01.04.01.00,ही,में,3
174761,OpenYoja/V-01.04.01.00,विस्तर,नहीं,6
174761,OpenYoja/V-01.04.01.00,में,सो,3
174761,OpenYoja/V-01.04.01.00,नहीं,पाने,4
174761,OpenYoja/V-01.04.01.00,सो,पर,2
174761,OpenYoja/V-01.04.01.00,पाने,उसे,3
174761,OpenYoja/V-01.04.01.00,पर,दुख,3
174761,OpenYoja/V-01.04.01.00,उसे,होता,4
174761,OpenYoja/V-01.04.01.00,दुख,है,3
174761,OpenYoja/V-01.04.01.00,होता,इसलिए,5
174761,OpenYoja/V-01.04.01.00,है,तुम,3
174761,OpenYoja/V-01.04.01.00,इसलिए,उसे,4
174761,OpenYoja/V-01.04.01.00,तुम,अपने,4
174761,OpenYoja/V-01.04.01.00,उसे,मकान,4
174761,OpenYoja/V-01.04.01.00,अपने,में,4
174761,OpenYoja/V-01.04.01.00,मकान,ठहरने,4
174761,OpenYoja/V-01.04.01.00,में,या।,3
174761,OpenYoja/V-01.04.01.00,ठहरने,तुम्हारे,6
174761,OpenYoja/V-01.04.01.00,या,साथ,2
174761,OpenYoja/V-01.04.01.00,तुम्हारे,एक,8
174761,OpenYoja/V-01.04.01.00,साथ,ही,3
174761,OpenYoja/V-01.04.01.00,एक,विस्तर,6
174761,OpenYoja/V-01.04.01.00,ही,पर,2
174761,OpenYoja/V-01.04.01.00,विस्तर,सोने,5
174761,OpenYoja/V-01.04.01.00,पर,की,2
174761,OpenYoja/V-01.04.01.00,सोने,अनुमति,6
174761,OpenYoja/V-01.04.01.00,की,नहीं,3
174761,OpenYoja/V-01.04.01.00,अनुमति,दे,6
174761,OpenYoja/V-01.04.01.00,नहीं,सकते,4
174761,OpenYoja/V-01.04.01.00,दे,हो,2
174761,OpenYoja/V-01.04.01.00,सकते,कोई,3
174761,OpenYoja/V-01.04.01.00,हो।,चोर,2
174761,OpenYoja/V-01.04.01.00,कोई,को,1
174761,OpenYoja/V-01.04.01.00,चोर,अगर,2
174761,OpenYoja/V-01.04.01.00,को,तुम्हारा,8
174761,OpenYoja/V-01.04.01.00,अगर,पॉँकेट,6
174761,OpenYoja/V-01.04.01.00,तुम्हारा,नहीं।,7
174761,OpenYoja/V-01.04.01.00,पॉकेट,काट,3
174761,OpenYoja/V-01.04.01.00,नहीं,पाने,4
174761,OpenYoja/V-01.04.01.00,काट,पर,3
174761,OpenYoja/V-01.04.01.00,पाने,उसे,3
174761,OpenYoja/V-01.04.01.00,पर,दुख,3
174761,OpenYoja/V-01.04.01.00,उसे,होता,4
174761,OpenYoja/V-01.04.01.00,दुख,है,3
174761,OpenYoja/V-01.04.01.00,होता,तो,3
174761,OpenYoja/V-01.04.01.00,है,तुम,3
174761,OpenYoja/V-01.04.01.00,तो,उसे,3
174761,OpenYoja/V-01.04.01.00,तुम,अपना,4
174761,OpenYoja/V-01.04.01.00,उसे,पॉँकेट,5
174761,OpenYoja/V-01.04.01.00,अपना,काटने,4
174761,OpenYoja/V-01.04.01.00,पॉकेट,की,4
174761,OpenYoja/V-01.04.01.00,काटने,सुविधा,6
174761,OpenYoja/V-01.04.01.00,की,नहीं,3
174761,OpenYoja/V-01.04.01.00,सुविधा,दे,6
174761,OpenYoja/V-01.04.01.00,नहीं,सकते,4
174761,OpenYoja/V-01.04.01.00,दे,हो,2
174761,OpenYoja/V-01.04.01.00,सकते,कोई,3
174761,OpenYoja/V-01.04.01.00,हो।,दूसरों,5
174761,OpenYoja/V-01.04.01.00,कोई,को,1
174761,OpenYoja/V-01.04.01.00,दूसरों,पीड़ा,6
174761,OpenYoja/V-01.04.01.00,को,देनेवाला,8
174761,OpenYoja/V-01.04.01.00,पीड़ा,व्यक्ति,7
174761,OpenYoja/V-01.04.01.00,देनेवाला,57,8
174761,OpenYoja/V-01.04.01.00,व्यक्ति,ooeee,7
174761,OpenYoja/V-01.04.01.00,57,6७,2
174761,OpenYoja/V-01.04.01.00,Collected,raeiee,7
174761,OpenYoja/V-01.04.01.00,by,1४.,3
174761,OpenYoja/V-01.04.01.00,Mukherjee,aaad,9
174761,OpenYoja/V-01.04.01.00,"TK,",,3
174761,OpenYoja/V-01.04.01.00,Dhanbad,,7
174761,OpenYoja/V-01.05.01.00,है।,है,1
174761,OpenYoja/V-01.05.01.00,क्योंकि,कि,5
174761,OpenYoja/V-01.05.01.00,है।,है,1
174761,OpenYoja/V-01.05.01.00,"है,",अथवा,4
174761,OpenYoja/V-01.05.01.00,अथवा,सामाजिक,6
174761,OpenYoja/V-01.05.01.00,सामाजिक,व्यवधान,7
174761,OpenYoja/V-01.05.01.00,व्यवधान,या,5
174761,OpenYoja/V-01.05.01.00,या,दूरी,4
174761,OpenYoja/V-01.05.01.00,दूरी,के,4
174761,OpenYoja/V-01.05.01.00,के,कारण,3
174761,OpenYoja/V-01.05.01.00,कारण,संभव,4
174761,OpenYoja/V-01.05.01.00,संभव,नहीं,4
174761,OpenYoja/V-01.05.01.00,नहीं,है,3
174761,OpenYoja/V-01.05.01.00,है,उसे,3
174761,OpenYoja/V-01.05.01.00,उसे,मन,3
174761,OpenYoja/V-01.05.01.00,मन,ही,2
174761,OpenYoja/V-01.05.01.00,ही,मन,2
174761,OpenYoja/V-01.05.01.00,मन,संयम,4
174761,OpenYoja/V-01.05.01.00,संयम,की,4
174761,OpenYoja/V-01.05.01.00,की,ओर,2
174761,OpenYoja/V-01.05.01.00,ओर,आकर्षित,6
174761,OpenYoja/V-01.05.01.00,आकर्षित,करना,5
174761,OpenYoja/V-01.05.01.00,करना,चाहिए।,6
174761,OpenYoja/V-01.05.01.00,चाहिए।,यह,5
174761,OpenYoja/V-01.05.01.00,यह,लाभदायक,6
174761,OpenYoja/V-01.05.01.00,लाभदायक,सिद्ध,6
174761,OpenYoja/V-01.05.01.00,सिद्ध,होगा,5
174761,OpenYoja/V-01.05.01.00,होगा।,यह,5
174761,OpenYoja/V-01.05.01.00,यह,उपदेश,5
174761,OpenYoja/V-01.05.01.00,उपदेश,प्रत्यक्ष,9
174761,OpenYoja/V-01.05.01.00,प्रत्यक्ष,अनुभव,9
174761,OpenYoja/V-01.05.01.00,अनुभव,और,5
174761,OpenYoja/V-01.05.01.00,और,वास्तविक,8
174761,OpenYoja/V-01.05.01.00,वास्तविक,घटनाओं,8
174761,OpenYoja/V-01.05.01.00,घटनाओं,पर,6
174761,OpenYoja/V-01.05.01.00,पर,आधारित,5
174761,OpenYoja/V-01.05.01.00,आधारित,है,6
174761,OpenYoja/V-01.05.01.00,है।,वृथा,4
174761,OpenYoja/V-01.05.01.00,वृथा,क्लेश।,6
174761,OpenYoja/V-01.05.01.00,क्लेश,देना,5
174761,OpenYoja/V-01.05.01.00,देना,भगवान,4
174761,OpenYoja/V-01.05.01.00,भगवान,की,5
174761,OpenYoja/V-01.05.01.00,की,इस,2
174761,OpenYoja/V-01.05.01.00,इस,सृष्टि,6
174761,OpenYoja/V-01.05.01.00,सृष्टि,में,6
174761,OpenYoja/V-01.05.01.00,में,कोई,3
174761,OpenYoja/V-01.05.01.00,कोई,कितना,4
174761,OpenYoja/V-01.05.01.00,कितना,भी,5
174761,OpenYoja/V-01.05.01.00,भी,क्यों,5
174761,OpenYoja/V-01.05.01.00,क्यों,न,5
174761,OpenYoja/V-01.05.01.00,न,करे,3
174761,OpenYoja/V-01.05.01.00,करे,किसी,3
174761,OpenYoja/V-01.05.01.00,किसी,न,4
174761,OpenYoja/V-01.05.01.00,न,किसी,4
174761,OpenYoja/V-01.05.01.00,किसी,के,3
174761,OpenYoja/V-01.05.01.00,के,मन.,3
174761,OpenYoja/V-01.05.01.00,मन,में,2
